cds_code,county,district,school,school_type,sector_type,charter,status,details_url,email,administrator,cds code,cds coordinator contact for data updates,charter funding type,charter number,chief business official,educational program type,fax number,federal charter district id,high grade,last updated,low grade,magnet,mailing address,multilingual instruction,nces_federal school id,open date,phone number,public school,school address,school type,statistical info,virtual instruction,web address,year round
01100170136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Community,Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170136226,eguthertz@acoe.org,Tracey Burns Director (510) 670-4157 tburns@acoe.org,01 10017 0136226,Abraham Zamora (510) 670-4131 Request Data Update(s),Locally funded,1888,Shirene Moreira Chief of District Business and Advisory Services (510) 670-4192 smoreira@acoe.org,County Community School,(510) 670-4208,,12,"September 8, 2025",10,No,"313 West Winton Ave. Hayward, CA 94544-1136",No,14090,"September 5, 2017",(510) 670-7602,Yes,"313 West Winton Ave. Hayward, CA 94544-1136 Google Map Link opens new browser tab",County Community,Link to School Profile,Primarily Classroom,www.acoe.org Link opens new browser tab,No
01100170124172,Alameda,Alameda County Office of Education,Yu Ming Charter,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01100170124172,office@yumingschool.org,Celia Pascual Chief Academic Officer (510) 452-2069 cpascual@yumingschool.org,01 10017 0124172,Abraham Zamora (510) 670-4131 Request Data Update(s),Directly funded,1296,Wendy Larson Business Manager (510) 452-2063 wlarson@yumingschool.org,Traditional,(510) 452-2095,0602013,8,"May 23, 2025",K,No,"2501 Chestnut St. Oakland, CA 94607",Yes,12901,"August 9, 2011",(510) 452-2063,Yes,"2501 Chestnut St. Oakland, CA 94607-2477 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.yumingschool.org Link opens new browser tab,No
01611190130609,Alameda,Alameda Unified,Alameda Community Learning Center,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190130609,annalisa.moore@clcschools.org,Annalisa Moore Executive Director annalisa.moore@clcschools.org,01 61119 0130609,Robyn Odell (510) 337-7182 Request Data Update(s),Directly funded,0352,Theresa Quigley Chief Operations Officer (510) 217-8823 theresa.quigley@clcschools.org,Traditional,(510) 995-4307,0601664,12,"May 23, 2025",6,No,"1900 Third St. Alameda, CA 94501-1851",No,08673,"August 30, 2001",(510) 995-4300,Yes,"1900 Third St. Alameda, CA 94501-1851 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.alamedaclc.org Link opens new browser tab,Yes
01611190119222,Alameda,Alameda Unified,Nea Community Learning Center,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190119222,annalisa.moore@clcschools.org,Annalisa Moore Executive Director annalisa.moore@clcschools.org,01 61119 0119222,Robyn Odell (510) 337-7182 Request Data Update(s),Directly funded,1066,Theresa Quigley Chief Operations Officer (510) 217-8823 theresa.quigley@clcschools.org,Traditional,(510) 864-4281,0601887,12,"May 23, 2025",K,No,"1900 Third St. Alameda, CA 94501-1851",No,12399,"August 31, 2009",(510) 748-4008,Yes,"1900 Third St. Alameda, CA 94501-1851 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.clcschools.org Link opens new browser tab,Yes
01611190122085,Alameda,Alameda Unified,The Academy of Alameda,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611190122085,jburget@aoaschools.org,Christine Chilcott Executive Director (510) 748-4017 cchilcott@aoaschools.org,01 61119 0122085,Robyn Odell (510) 337-7182 Request Data Update(s),Directly funded,1181,Damaris Espinosa Executive/HR Assistant (510) 748-4017 Ext. 28803 despinosa@aoaschools.org,Traditional,(510) 523-5304,0601642,8,"May 23, 2025",K,No,"401 Pacific Ave. Alameda, CA 94501-1837",No,00042,"August 30, 2010",(510) 748-4017,Yes,"401 Pacific Ave. Alameda, CA 94501-1837 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,http://aoaschools.org/ Link opens new browser tab,Yes
01611760130534,Alameda,Fremont Unified,Circle of Independent Learning,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611760130534,coilcharter@fusdk12.net,Teresa Copenhaver Principal (510) 797-0100 Ext. 29306 tcopenhaver@fusdk12.net,01 61176 0130534,Radhika Agarwal (510) 657-2350 Ext. 12624 Request Data Update(s),Locally funded,0152,Teresa Copenhaver Executive Director (510) 797-0100 Ext. 29306 tcopenhaver@fusdk12.net,Traditional,(510) 797-0118,,12,"September 18, 2025",K,No,"4700 Calaveras Ave. Fremont, CA 94538-1124",No,07479,"September 9, 1998",(510) 797-0100,Yes,"4700 Calaveras Ave. Fremont, CA 94538-1124 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.coilk12.net Link opens new browser tab,No
01611920127944,Alameda,Hayward Unified,Hayward Twin Oaks Montessori,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611920127944,info@haywardtwinoaks.org,Yanira Ledezma Superintendent (510) 370-3334 yanira@haywardtwinoaks.org,01 61192 0127944,Yangxue Dong (510) 784-2600 Ext. 72632 Request Data Update(s),Directly funded,1543,Rick McMahon Treasurer (510) 370-3334 rick@pacific-dining.com,Traditional,(510) 888-1317,0602238,12,"May 23, 2025",1,No,"951 Palisade St. Hayward, CA 94542-1048",No,13531,"August 26, 2013",(510) 370-3334,Yes,"951 Palisade St. Hayward, CA 94542-1048 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.haywardtwinoaks.org Link opens new browser tab,No
01611920137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611920137646,info@es-impact.org,Elizabeth Raji-Greig Superintendent of Schools (510) 451-2415 compliance@envisionschools.org,01 61192 0137646,Yangxue Dong (510) 784-2600 Ext. 72632 Request Data Update(s),Directly funded,0836,Elizabeth Choi Chief Operating Officer (510) 451-2415 compliance@envisionschools.org,Traditional,(510) 300-1565,0601647,12,"May 23, 2025",6,No,"111 Myrtle St., Ste. 203 Oakland, CA 94607",No,11849,"July 1, 2018",(510) 300-1560,Yes,"2560 Darwin St. Hayward, CA 94545-3451 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.es-impact.org Link opens new browser tab,No
01611920127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611920127696,contact@keyacademycharter.org,Mr. David Ramirez Director (510) 397-2524 david@keyacademycharter.org,01 61192 0127696,Yangxue Dong (510) 784-2600 Ext. 72632 Request Data Update(s),Directly funded,1514,"Yoon Chang Director, Finance and Administration (925) 241-4267 yoon@keyeducation.org",Traditional,(510) 363-8542,0601977,8,"May 23, 2025",K,No,"11750 Dublin Blvd. #204 Dublin, CA 94568",No,13351,"August 20, 2013",(510) 397-2524,Yes,"585 Willow Ave. Hayward, CA 94541-2424 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.keyacademycharter.org Link opens new browser tab,No
01611920108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,High Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611920108670,info@leadps.org,Brent Daniels Superintendent bdaniels@leadps.org,01 61192 0108670,Yangxue Dong (510) 784-2600 Ext. 72632 Request Data Update(s),Directly funded,0684,Chanthip Phongkhamsavath Chief Business Officer (510) 294-5332 cphongkhamsavath@leadps.org,Traditional,(510) 372-0396,0601815,12,"May 23, 2025",9,No,"99 Linden St. Oakland, CA 94607",No,10737,"August 29, 2005",(510) 300-1340,Yes,"28000 Calaroga Ave. Hayward, CA 94545-4600 Google Map Link opens new browser tab",High Schools (Public),Link to School Profile,Not Virtual,www.leadps.org/hayward/ Link opens new browser tab,No
01612590111476,Alameda,Oakland Unified,Achieve Academy,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590111476,cbo@efcps.net,Larissa Adam Superintendent of Schools (510) 568-7936 cdeachieve@efcps.net,01 61259 0111476,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,0780,Sundar Chari Chief Strategy Officer (510) 904-6376 cbo@efcps.net,Traditional,(510) 904-6761,0602165,5,"May 23, 2025",K,No,"333 Hegenberger Rd., Ste. 705 Oakland, CA 94621",No,11561,"August 28, 2006",(510) 904-6440,Yes,"1700 28th Ave. Oakland, CA 94621-2455 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.efcps.org Link opens new browser tab,No
01612590111856,Alameda,Oakland Unified,AIMS College Prep High,High Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590111856,directory@aimsk12.org,Marco Menendez Interim Executive Director (510) 893-8701 marco.menendez@aimsk12.org,01 61259 0111856,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,0765,Katema Ballentine Chief Business Officer (510) 893-8701 katema.ballentine@aimsk12.org,Traditional,(510) 893-0345,0602227,12,"August 29, 2025",9,No,"746 Grand Ave. Oakland, CA 94607-2714",No,11563,"June 22, 2006",(510) 893-8701,Yes,"746 Grand Ave. Oakland, CA 94607-2714 Google Map Link opens new browser tab",High Schools (Public),Link to School Profile,Not Virtual,www.aimsk12.org Link opens new browser tab,No
01612596113807,Alameda,Oakland Unified,AIMS College Prep Middle,Junior High Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612596113807,directory@aimsk12.org,Marco Menendez Interim Executive Director (510) 893-8701 marco.menendez@aimsk12.org,01 61259 6113807,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,0106,Katema Ballentine Chief Business Officer (510) 893-8701 katema.ballentine@aimsk12.org,Traditional,(510) 893-0345,0601479,8,"August 29, 2025",6,No,"171 12th St. Oakland, CA 94607-4900",No,05673,"September 1, 1996",(510) 893-8701,Yes,"171 12th St. Oakland, CA 94607-4900 Google Map Link opens new browser tab",Junior High Schools (Public),Link to School Profile,Not Virtual,www.aimsk12.org Link opens new browser tab,No
01612590115238,Alameda,Oakland Unified,ARISE High,High Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590115238,karla@arisehighschool.org,Karla Gandiaga Head of School (510) 436-5487 karla@arisehighschool.org,01 61259 0115238,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,0837,Karla Gandiaga Head of School (510) 436-5487 karla@arisehighschool.org,Traditional,(510) 436-5493,0602462,12,"May 23, 2025",9,No,"3301 East 12th St., Ste. 205 Oakland, CA 94601-2940",No,12040,"August 27, 2007",(510) 436-5487,Yes,"3301 East 12th St., Ste. 205 Oakland, CA 94601-2940 Google Map Link opens new browser tab",High Schools (Public),Link to School Profile,Not Virtual,www.arisehighschool.org Link opens new browser tab,Yes
01612596118608,Alameda,Oakland Unified,ASCEND,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612596118608,cbo@efcps.net,Larissa Adam Superintendent of Schools (510) 568-7936 cdeascend@efcps.net,01 61259 6118608,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,1443,Sundar Chari Chief Strategy Officer (510) 904-6376 cbo@efcps.net,Traditional,(510) 534-7222,0601704,8,"May 23, 2025",K,No,"333 Hegenberger Road Ste. 705 Oakland, CA 94621",No,08677,"September 4, 2001",(510) 879-3140,Yes,"3709 East 12th St. Oakland, CA 94601-4001 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.efcps.org Link opens new browser tab,No
01612590109819,Alameda,Oakland Unified,Aspire Berkley Maynard Academy,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590109819,aspirebma@aspirepublicschools.org,Sharaya Wiley Administrator (510) 658-2900 data-contact@aspirepublicschools.org,01 61259 0109819,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,0726,Michael Wimbish Chief Business Official (510) 434-5000 michael.wimbish@aspirepublicschools.org,Traditional,(510) 658-1013,0602046,8,"May 23, 2025",K,No,"1001 22nd Ave., Ste. 100 Oakland, CA 94606",No,10727,"August 24, 2005",(510) 658-2900,Yes,"6200 San Pablo Ave. Oakland, CA 94608-2228 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.aspirepublicschools.org Link opens new browser tab,No
01612590128413,Alameda,Oakland Unified,Aspire College Academy,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590128413,aspireaca@aspirepublicschools.org,Brian White Principal (510) 562-8030 data-contact@aspirepublicschools.org,01 61259 0128413,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,1577,Michael Wimbish Chief Business Officer (510) 434-5000 michael.wimbish@aspirepublicschools.org,Traditional,(510) 562-8013,0602112,5,"May 23, 2025",K,No,"1001 22nd Ave., Ste. 100 Oakland, CA 94606",No,13676,"August 5, 2013",(510) 562-8030,Yes,"8030 Atherton St. Oakland, CA 94605-3430 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.aspirepublicschools.org Link opens new browser tab,No
01612590118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590118224,aspiregsp@aspirepublicschools.org,Stacy Thomas Interim Principal (510) 658-2900 stacy.thomas@aspirepublicschools.org,01 61259 0118224,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,1023,Michael Wimbish Chief Business Officer (510) 434-5000 michael.wimbish@aspirepublicschools.org,Traditional,(510) 632-1569,0601552,12,"September 5, 2025",6,No,"1001 22nd Ave., Ste. 100 Oakland, CA 94606",No,12331,"August 5, 2008",(510) 567-9631,Yes,"1009 66th Ave. Oakland, CA 94621-3535 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.aspirepublicschools.org Link opens new browser tab,No
01612590130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590130666,aspirelwp@aspirepublicschools.org,TaNyka Avington Principal (510) 635-7737 tanyka.avington@aspirepublicschools.org,01 61259 0130666,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,0465,Michael Wimbish Chief Business Officer (510) 434-5000 michael.wimbish@aspirepublicschools.org,Traditional,(510) 635-7727,0602212,12,"September 5, 2025",6,No,"1001 22nd Ave., Ste.100 Oakland, CA 94606",No,10459,"September 1, 2002",(510) 635-7737,Yes,"400 105th Ave. Oakland, CA 94603-2968 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.aspirepublicschools.org Link opens new browser tab,No
01612596117568,Alameda,Oakland Unified,Aspire Monarch Academy,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612596117568,aspiremon@aspirepublicschools.org,Heather Hasan Principal (510) 568-3101 heather.hasan@aspirepublicschools.org,01 61259 6117568,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,0252,Michael Wimbish Chief Business Officer (510) 434-5000 michael.wimbish@aspirepublicschools.org,Traditional,(510) 568-3521,0602448,5,"September 5, 2025",K,No,"1001 22nd Ave., Ste. 100 Oakland, CA 94606",No,08440,"September 5, 2000",(510) 568-3101,Yes,"1445 101st Ave. Oakland, CA 94603-3207 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.aspirepublicschools.org Link opens new browser tab,No
01612590130732,Alameda,Oakland Unified,Aspire Triumph Technology Academy,Elementary Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590130732,aspireatta@aspirepublicschools.org,Laurelei Durr Administrator (510) 638-9445 data-contact@aspirepublicschools.org,01 61259 0130732,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,1663,Mary Cha-Caswell Chief Operating Officer (510) 434-5000 data-contact@aspirepublicschools.org,Traditional,(510) 638-0744,0601496,5,"May 23, 2025",K,No,"1001 22nd Ave., Ste. 100 Oakland, CA 94606",No,10724,"August 4, 2014",(510) 638-9445,Yes,"3200 62nd Ave. Oakland, CA 94605-1614 Google Map Link opens new browser tab",Elementary Schools (Public),Link to School Profile,Not Virtual,www.aspirepublicschools.org Link opens new browser tab,No
01612590106906,Alameda,Oakland Unified,Bay Area Technology,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590106906,info@baytechschool.org,Seth Feldman Executive Director (510) 382-9932 director@baytechschool.org,01 61259 0106906,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,0661,Cory Cavanah Chief Business Officer (619) 787-3305 cory@thecbogroup.com,Traditional,(510) 382-9934,0601827,12,"May 23, 2025",6,No,"8251 Fontaine St. Oakland, CA 94605-4109",No,10720,"August 30, 2004",(510) 382-9932,Yes,"8251 Fontaine St. Oakland, CA 94605-4109 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,www.baytechschool.org Link opens new browser tab,No
01612590129635,Alameda,Oakland Unified,Downtown Charter Academy,Intermediate/Middle Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590129635,abarnes@amethodschools.org,Adrienne Barnes CEO (510) 734-1555 abarnes@amethodschools.org,01 61259 0129635,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,1661,Adrienne Barnes CEO (510) 734-1555 abarnes@amethodschools.org,Traditional,(510) 535-1597,0601493,8,"August 20, 2025",6,No,"2000 Dennison St. Oakland, CA 94606-5201",No,13752,"August 20, 2014",(510) 535-1580,Yes,"2000 Dennison St. Oakland, CA 94606-5201 Google Map Link opens new browser tab",Intermediate/Middle Schools (Public),Link to School Profile,Not Virtual,www.amethodschools.org Link opens new browser tab,No
01612590129932,Alameda,Oakland Unified,East Bay Innovation Academy,K-12 Schools (Public),Public,Yes,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612590129932,info@eastbayia.org,Miranda Thorman Executive Director (510) 577-9557 miranda.thorman@eastbayia.org,01 61259 0129932,Juan Du (510) 879-5703 Request Data Update(s),Directly funded,1620,Bonita Herrera Senior Director of Operations (510) 577-9557 bherrera@eastbayia.org,Traditional,(510) 957-0275,0602192,12,"May 23, 2025",6,No,"3400 Malcolm Ave. Oakland, CA 94605-5353",No,13735,"August 18, 2014",(510) 577-9557,Yes,"3400 Malcolm Ave. Oakland, CA 94605-5353 Google Map Link opens new browser tab",K-12 Schools (Public),Link to School Profile,Not Virtual,http://eastbayia.org Link opens new browser tab,No
