cds_code,website,email,domain,school_name,county,district
01612590130617,https://www.oakmil.org,info@omiacademy.org,www.oakmil.org,"Oakland Military Institute, College Preparatory Academy",Alameda,Oakland Unified
01612593030772,https://www.oakarts.org,info@oakarts.org,www.oakarts.org,Oakland School for the Arts,Alameda,Oakland Unified
01612590100065,https://www.unityhigh.org,info@unityhigh.org,www.unityhigh.org,Oakland Unity High,Alameda,Oakland Unified
01613090114421,http://king.kippnorcal.org/,opsadmin@kippnorcal.org,king.kippnorcal.org,KIPP King Collegiate High,Alameda,San Lorenzo Unified
01613090101212,http://summit.kippnorcal.org/,opsadmin@kippnorcal.org,summit.kippnorcal.org,KIPP Summit Academy,Alameda,San Lorenzo Unified
04100410134213,http://comeback.bcoe.org/,jdelgado@boce.org,comeback.bcoe.org,Come Back Butte Charter,Butte,Butte County Office of Education
04100410114991,https://www.corebutte.org,mcox@corebutte.org,www.corebutte.org,CORE Butte Charter,Butte,Butte County Office of Education
04100410430090,https://www.hearthstoneschool.net/,khaight@bcoe.org,www.hearthstoneschool.net,Hearthstone,Butte,Butte County Office of Education
04614246119523,https://www.blueoakcharterschool.org,info@blueoakcharterschool.org,www.blueoakcharterschool.org,Blue Oak Charter,Butte,Chico Unified
04614246113773,https://www.chicocountryday.org,wfairon@chicocountryday.org,www.chicocountryday.org,Chico Country Day,Butte,Chico Unified
04614240118042,https://www.forestranchcharter.org,info@forestranchcharter.org,www.forestranchcharter.org,Forest Ranch Charter,Butte,Chico Unified
04614240120394,https://www.inspirechico.org,bbrown@inspirechico.org,www.inspirechico.org,Inspire School of Arts and Sciences,Butte,Chico Unified
04614240110551,https://www.nordcountryschool.org,admin@nordk8.org,www.nordcountryschool.org,Nord Country,Butte,Chico Unified
04614240137828,https://www.pivotnorthvalley.com/,kpoulsen@pivotcharter.org,www.pivotnorthvalley.com,Pivot Charter School North Valley II,Butte,Chico Unified
04614240121475,https://www.sherwoodmontessori.org,info@sherwoodmontessori.org,www.sherwoodmontessori.org,Sherwood Montessori,Butte,Chico Unified
04614240123810,https://www.wildflowerschool.com,info@wildflowerschool.com,www.wildflowerschool.com,Wildflower Open Classroom,Butte,Chico Unified
04615070121509,https://www.ipakanni.com,wgramps@ipakanni.com,www.ipakanni.com,Ipakanni Early College Charter,Butte,Oroville City Elementary
04615070129577,http://streamcharterschool.org,info@streamcharter.net,streamcharterschool.org,STREAM Charter,Butte,Oroville City Elementary
04615316113765,https://www.paradisecccs.org,mfarrer@paradisecccs.org,www.paradisecccs.org,Children's Community Charter,Butte,Paradise Unified
04615316112585,https://www.hometech.org,jcrandall@hometech.org,www.hometech.org,HomeTech Charter,Butte,Paradise Unified
04615316112999,https://www.pcmsbulldogs.org/,cpalmer@pcms.tv,www.pcmsbulldogs.org,Paradise Charter Middle,Butte,Paradise Unified
05100580530154,https://www.mountainoaks.org,mountainoaks@ccoe.k12.ca.us,www.mountainoaks.org,Mountain Oaks,Calaveras,Calaveras County Office of Education
07616486115703,https://www.antiochcharteracademy.org,acaoffice@antiochcharteracademy.org,www.antiochcharteracademy.org,Antioch Charter Academy,Contra Costa,Antioch Unified
07616480137430,https://www.rocketshipschools.org/schools/deltaprep,rdl@rsed.org,www.rocketshipschools.org,Rocketship Delta Prep,Contra Costa,Antioch Unified
07616630130930,https://www.vistaoaks.net,joy.groen@vistaoaks.net,www.vistaoaks.net,Vista Oaks Charter,Contra Costa,Byron Union Elementary
07100740129528,https://www.caliberbetaacademy.org,info@caliberbetaacademy.org,www.caliberbetaacademy.org,Caliber: Beta Academy,Contra Costa,Contra Costa County Office of Education
07100740731380,https://www.claytonvalley.org,info@claytonvalley.org,www.claytonvalley.org,Clayton Valley Charter High,Contra Costa,Contra Costa County Office of Education
07100740730614,https://www.cccoe.k12.ca.us/cms/one.aspx?portalid=1077397&pageid=2978892,nberger@cccoe.k12.ca.us,www.cccoe.k12.ca.us,Golden Gate Community,Contra Costa,Contra Costa County Office of Education
07100740137026,https://www.invictusofrichmond.org,sbenjamin@invictusofrichmond.org,www.invictusofrichmond.org,Invictus Academy of Richmond,Contra Costa,Contra Costa County Office of Education
07100740114470,https://www.makingwavesacademy.org,mwainfo@mwacademy.org,www.makingwavesacademy.org,Making Waves Academy,Contra Costa,Contra Costa County Office of Education
07100746118368,https://www.manzy.org,coyne@manzy.org,www.manzy.org,Manzanita Middle,Contra Costa,Contra Costa County Office of Education
07100740129684,http://k2.summitps.org,k2@summitps.org,k2.summitps.org,Summit Public School K2,Contra Costa,Contra Costa County Office of Education
07617546118087,https://www.eaglepeakmontessori.org,admin@eaglepeakmontessori.org,www.eaglepeakmontessori.org,Eagle Peak Montessori,Contra Costa,Mt. Diablo Unified
07617960110973,https://www.rcpschools.org/,richcollegeprep@sbcglobal.net,www.rcpschools.org,Richmond College Preparatory,Contra Costa,West Contra Costa Unified
07617960133637,http://tam.summitps.org,tamalpais@summitps.org,tam.summitps.org,Summit Public School: Tamalpais,Contra Costa,West Contra Costa Unified
07617960136903,https://www.voicesacademies.org,lramirez@voicescharterschool.com,www.voicesacademies.org,Voices College-Bound Language Academy at West Contra Costa County,Contra Costa,West Contra Costa Unified
08100820830059,https://www.castlerockschool.org,jlarson@delnorte.k12.ca.us,www.castlerockschool.org,Castle Rock,Del Norte,Del Norte County Office of Education
08618200137729,http://shoresacademy.com/,dcartwright@shoresacademy.com,shoresacademy.com,Uncharted Shores Academy,Del Norte,Del Norte County Unified
09737830121566,http://arcs.bomusd.org,athomas@bomusd.org,arcs.bomusd.org,American River Charter,El Dorado,Black Oak Mine Unified
09618380137919,https://www.buckeyeusd.org/,lzhai@buckeyeusd.org,www.buckeyeusd.org,Buckeye Union Mandarin Immersion Charter,El Dorado,Buckeye Union Elementary
09618380111724,https://www.cacmp.org,rmarsolais@cacmp.org,www.cacmp.org,California Montessori Project-Shingle Springs Campus,El Dorado,Buckeye Union Elementary
09618380136200,https://www.clarksvillecharter.org/,info@clarksvillecharter.com,www.clarksvillecharter.org,Clarksville Charter,El Dorado,Buckeye Union Elementary
09618380139006,http://cottonwoodk12.org,info@cottonwoodk12.org,cottonwoodk12.org,Cottonwood,El Dorado,Buckeye Union Elementary
09618380129965,https://www.risingsunmontessori.org,kzierhut@risingsunmontessori.org,www.risingsunmontessori.org,Rising Sun Montessori,El Dorado,Buckeye Union Elementary
09618460123125,https://www.charter.caminoschool.org/,msmith@caminoschool.org,www.charter.caminoschool.org,Camino Polytechnic,El Dorado,Camino Union Elementary
09100900123521,https://www.edcoe.org,mgillespie@edcoe.org,www.edcoe.org,Charter Home Study Academy,El Dorado,El Dorado County Office of Education
09100900136036,http://edh.johnadamsacademy.org/,info@johnadamsacademy.org,edh.johnadamsacademy.org,John Adams Academy - El Dorado Hills,El Dorado,El Dorado County Office of Education
09618530930214,http://pacificcrest.eduhsd.k12.ca.us,apetersen@eduhsd.k12.ca.us,pacificcrest.eduhsd.k12.ca.us,Pacific Crest Academy,El Dorado,El Dorado Union High
10621170118018,https://www.clovisonlineschool.com,seanosterberg@cusd.com,www.clovisonlineschool.com,Clovis Online Charter,Fresno,Clovis Unified
10101080119628,http://bpea.school/,diana.gonzalez@bpeacademy.org,bpea.school,Big Picture Educational Academy,Fresno,Fresno County Office of Education
10101080136291,http://ctec.fcoe.org/,jdelano@fcoe.org,ctec.fcoe.org,Career Technical Education Charter,Fresno,Fresno County Office of Education
10101080140186,https://www.clovisglobalacademy.org,office@clovisglobalacademy.org,www.clovisglobalacademy.org,Clovis Global Academy,Fresno,Fresno County Office of Education
10101080109991,https://www.cvwest.org,principal@cvwest.org,www.cvwest.org,Crescent View West Public Charter,Fresno,Fresno County Office of Education
10101086085112,https://www.myebca.org,info@myebca.com,www.myebca.org,Edison-Bethune Charter Academy,Fresno,Fresno County Office of Education
10101080111682,https://www.humelakecharter.org,principal@humelakecharter.org,www.humelakecharter.org,Hume Lake Charter,Fresno,Fresno County Office of Education
10101080127514,https://www.keplerschool.org,r.dhillon@keplerschool.org,www.keplerschool.org,Kepler Neighborhood,Fresno,Fresno County Office of Education
10621660133942,https://www.aspenps.org,meadow.info@aspenps.org,www.aspenps.org,Aspen Meadow Public,Fresno,Fresno Unified
10621660140806,http://ridge.aspenps.org,ridge.info@aspenps.org,ridge.aspenps.org,Aspen Ridge Public,Fresno,Fresno Unified
10621661030840,https://www.agapeschools.org,lscott@agapeschools.org,www.agapeschools.org,Carter G. Woodson Public Charter,Fresno,Fresno Unified
10621660140038,https://www.endeavorcharter.org/,mcox@wscsfamily.org,www.endeavorcharter.org,Endeavor Charter,Fresno,Fresno Unified
10621660140764,https://www.goldencharteracademy.org,info@goldencharteracademy.org,www.goldencharteracademy.org,Golden Charter Academy,Fresno,Fresno Unified
10621660121533,http://fics.us/dailey,dailey@fics.us,fics.us,Morris E. Dailey Charter Elementary,Fresno,Fresno Unified
10621661030642,http://fresnoeoc.org/soul/,dion.varnado@fresnoeoc.org,fresnoeoc.org,School of Unlimited Learning,Fresno,Fresno Unified
10621660114355,https://www.sierracharter.org,info@sierracharter.org,www.sierracharter.org,Sierra Charter,Fresno,Fresno Unified
10621660114553,https://www.uhsfresno.com,jhickman@csufresno.edu,www.uhsfresno.com,University High,Fresno,Fresno Unified
10622650116640,https://www.kcusd.com,vasquez-l@kcusd.com,www.kcusd.com,Kings Canyon Online,Fresno,Kings Canyon Joint Unified
10622406114805,https://www.kesd.org,lregier@kesd.org,www.kesd.org,Central Valley Home,Fresno,Kingsburg Elementary Charter
10623310137661,https://www.caliva.org,info@caliva.org,www.caliva.org,California Virtual Academy at Fresno,Fresno,Orange Center
10623800136499,https://www.ambsanchezcharter2.org,principal@ambsanchezcharter2.org,www.ambsanchezcharter2.org,Ambassador Phillip V. Sanchez II Public Charter,Fresno,Raisin City Elementary
10624146117865,https://www.sanger.k12.ca.us,haley_marquez@sangerusd.net,www.sanger.k12.ca.us,Quail Lake Environmental Charter,Fresno,Sanger Unified
10625396112387,https://www.westpark.k12.ca.us,brian_c@wpesd.org,www.westpark.k12.ca.us,West Park Charter Academy,Fresno,West Park Elementary
10625470136523,https://www.cvsouth2.org,principal@cvsouth2.org,www.cvsouth2.org,Crescent View South II,Fresno,Westside Elementary
10625470135103,http://yosemitevalleycharter.org,help@centralvcs.org,yosemitevalleycharter.org,Yosemite Valley Charter,Fresno,Westside Elementary
11101160130724,https://www.success1charter.org,success-1@glenncoe.org,www.success1charter.org,Success One!,Glenn,Glenn County Office of Education
11101160124909,https://www.waldenacademy.org,frontoffice@waldenacademy.org,www.waldenacademy.org,Walden Academy,Glenn,Glenn County Office of Education
11101161130103,https://www.wmfinch.org,dlabar@glenncoe.org,www.wmfinch.org,William Finch,Glenn,Glenn County Office of Education
11625960139550,http://lakeviewcharter.org/,jenell.sherman@sequoiagrove.org,lakeviewcharter.org,Lake View Charter,Glenn,Lake Elementary
12626796120562,https://www.coastalgrove.org,coastalgrove@coastalgrove.org,www.coastalgrove.org,Coastal Grove Charter,Humboldt,Arcata Elementary
12626790109975,https://www.humboldt.k12.ca.us/fuentenueva/,info@fuentenueva.org,www.humboldt.k12.ca.us,Fuente Nueva Charter,Humboldt,Arcata Elementary
12626790137653,https://www.redwoodcoastmontessori.org,info@redwoodmontessori.org,www.redwoodcoastmontessori.org,Redwood Coast Montessori,Humboldt,Arcata Elementary
12626790111708,https://www.unionstreetcharter.org,office.unionstreet@gmail.com,www.unionstreetcharter.org,Union Street Charter,Humboldt,Arcata Elementary
12755151230150,http://pacificviewcharter.org/,jmalloy@pacificviewcharter.com,pacificviewcharter.org,Pacific View Charter 2.0,Humboldt,Eureka City Schools
12768020124164,http://redwoodprep.org,director@redwoodprep.org,redwoodprep.org,Redwood Preparatory Charter,Humboldt,Fortuna Elementary
12628286116289,https://www.freshwatersd.org,stalty@freshwatersd.org,www.freshwatersd.org,Freshwater Charter Middle,Humboldt,Freshwater Elementary
12101246008221,http://ajjcharter.com,admin@ajjcharter.com,ajjcharter.com,Agnes J. Johnson Charter,Humboldt,Humboldt County Office of Education
12101240134163,https://www.northcoastprep.org,admin@northcoastprep.org,www.northcoastprep.org,Northcoast Preparatory and Performing Arts Academy,Humboldt,Humboldt County Office of Education
12101240137364,https://www.nucharters.org,slovett@nucharters.org,www.nucharters.org,Northern United - Humboldt Charter,Humboldt,Humboldt County Office of Education
12626870124263,https://www.laureltreecs.org,laureltree_lc@yahoo.com,www.laureltreecs.org,Laurel Tree Charter,Humboldt,Northern Humboldt Union High
12629760115154,http://trilliumcharter.weebly.com,trilliumcs@gmail.com,trilliumcharter.weebly.com,Trillium Charter,Humboldt,Pacific Union Elementary
12630320111203,https://www.aldergrovecharter.org/,tim.warner@aldergrovecharter.org,www.aldergrovecharter.org,Alder Grove Charter School 2,Humboldt,South Bay Union Elementary
12630320124289,https://www.southbayusd.org/o/sbc,sbusd@southbayusd.org,www.southbayusd.org,South Bay Charter,Humboldt,South Bay Union Elementary
13631230118455,https://www.ballingtonacademy.org,dmulz@voa-swcal.org,www.ballingtonacademy.org,Ballington Academy for the Arts and Sciences,Imperial,El Centro Elementary
13631230122663,https://www.ecesd.org,mmcalister@ecesd.org,www.ecesd.org,Imperial Valley Home School Academy,Imperial,El Centro Elementary
13101320134379,https://www.icoe.org,douglas.kline@icoe.org,www.icoe.org,Imperial Pathways Charter,Imperial,Imperial County Office of Education
14101400128447,https://www.laedcorps.org,ntrout@laedcorps.org,www.laedcorps.org,The Education Corps,Inyo,Inyo County Office of Education
14101400117994,https://www.youthbuildcharter.org,rcuevas@youthbuildcharter.org,www.youthbuildcharter.org,YouthBuild Charter School of California,Inyo,Inyo County Office of Education
15634046009351,https://www.duesd.org/schools/cecilavenuems/,lreyna@duesd.org,www.duesd.org,Cecil Avenue Math and Science Academy,Kern,Delano Union Elementary
15101570142505,https://www.caatcharterschool.org,joanna@linkedps.org,www.caatcharterschool.org,Central Academy of Arts and Technology,Kern,Kern County Office of Education
15101570156364,http://growpublicschools.org,smcclain@growpublicschools.org,growpublicschools.org,Grow Public Schools,Kern,Kern County Office of Education
15101571530500,https://www.rcrealms.org,superintendent@rcrealms.org,www.rcrealms.org,"Ridgecrest Elementary Academy for Language, Music, and Science",Kern,Kern County Office of Education
15101571530492,https://www.valleyoakscharterschool.org,bebartz@kern.org,www.valleyoakscharterschool.org,Valley Oaks Charter,Kern,Kern County Office of Education
15101570119669,https://www.wonderfulcollegeprepacademy.org/,superintendent@wonderfulcollegeprep.org,www.wonderfulcollegeprepacademy.org,Wonderful College Prep Academy,Kern,Kern County Office of Education
15635291530435,http://workforce.kernhigh.org,melissa_bennett@kernhigh.org,workforce.kernhigh.org,Kern Workforce 2000 Academy,Kern,Kern High
15636280134312,https://www.theblueridgeacademy.com,info@theblueridgeacademy.com,www.theblueridgeacademy.com,Blue Ridge Academy,Kern,Maricopa Unified
15636280138131,https://www.heartlandcharterschool.com,courtney@heartlandcharterschool.com,www.heartlandcharterschool.com,Heartland Charter,Kern,Maricopa Unified
15636280128504,https://www.peaktopeakmountaincharter.org,office@p2pcharter.org,www.peaktopeakmountaincharter.org,Peak to Peak Mountain Charter,Kern,Maricopa Unified
16639250137901,https://www.hjuhsd.k12.ca.us/,hkeran@hjuhsd.org,www.hjuhsd.k12.ca.us,Hanford Online Charter,Kings,Hanford Joint Union High
16639336010466,https://www.island.k12.ca.us,lorettablack@island.k12.ca.us,www.island.k12.ca.us,Island Elementary,Kings,Island Union Elementary
16639416010474,https://www.kingsriverhardwick.com,canderson@krhsd.k12.ca.us,www.kingsriverhardwick.com,Kings River-Hardwick Elementary,Kings,Kings River-Hardwick Union Elementary
16639580136556,https://www.kingsvalleycharter2.org,principal@kingsvalleycharter2.org,www.kingsvalleycharter2.org,Kings Valley Academy II,Kings,Kit Carson Union Elementary
16639586113120,https://www.kitcarsonschool.com,cchampllin@kitcarsonschool.com,www.kitcarsonschool.com,Mid Valley Alternative Charter,Kings,Kit Carson Union Elementary
16639740100156,https://www.luesd.k12.ca.us,ccamarena@myluesd.net,www.luesd.k12.ca.us,Lemoore University Elementary Charter,Kings,Lemoore Union Elementary
16639820110205,https://www.luhsd.k12.ca.us,jwhiting@luhsd.k12.ca.us,www.luhsd.k12.ca.us,Lemoore Middle College High,Kings,Lemoore Union High
16639820136234,https://www.lemooreonline.org,mguerrero@luhsd.k12.ca.us,www.lemooreonline.org,Lemoore Online College Preparatory High,Kings,Lemoore Union High
16639900116699,https://www.pioneerunion.org/fes/,murillo-brownt@puesd.net,www.pioneerunion.org,Frontier Elementary,Kings,Pioneer Union Elementary
17640140141382,https://www.shadecanyon.org,inspired@shadecanyon.org,www.shadecanyon.org,Shade Canyon,Lake,Kelseyville Unified
17640550129601,https://www.californiaops.org,superintendent@californiaops.org,www.californiaops.org,California Online Public Schools North Bay,Lake,Middletown Unified
17640550108340,https://www.lcics.org,gwendolyn@lcics.org,www.lcics.org,Lake County International Charter,Lake,Middletown Unified
18750366010763,https://www.longvalleycs.org,smorgan@longvalleycs.org,www.longvalleycs.org,Long Valley,Lassen,Fort Sage Unified
18750360121657,http://fortsage.org,nklein@fortsage.org,fortsage.org,Mt. Lassen Charter,Lassen,Fort Sage Unified
18641960135756,http://longvalleycs.org,smorgan@longvalleycs.org,longvalleycs.org,Thompson Peak Charter,Lassen,Susanville Elementary
19753090127100,http://assurancelearning.org/,principal@assurancelearning.org,assurancelearning.org,Assurance Learning Academy,Los Angeles,Acton-Agua Dulce Unified
19753090132654,https://www.cal-pacs.org,cfeher@cal-pacs.org,www.cal-pacs.org,California Pacific Charter- Los Angeles,Los Angeles,Acton-Agua Dulce Unified
19753090135145,https://www.compasscharters.org,info@compasscharters.org,www.compasscharters.org,Compass Charter Schools of Los Angeles,Los Angeles,Acton-Agua Dulce Unified
19753090134619,https://www.empowergenerations.org,info@empowergenerations.org,www.empowergenerations.org,Empower Generations,Los Angeles,Acton-Agua Dulce Unified
19753090138297,https://www.ileadaguadulce.org,info@ileadaguadulce.org,www.ileadaguadulce.org,iLead Agua Dulce,Los Angeles,Acton-Agua Dulce Unified
19753090131987,http://ileadhybrid.org/,info@ileadhybrid.org,ileadhybrid.org,iLEAD Hybrid,Los Angeles,Acton-Agua Dulce Unified
19753090136531,http://ileadonline.org/,online.classes@ileadschools.org,ileadonline.org,iLEAD Online Charter,Los Angeles,Acton-Agua Dulce Unified
19753090137703,https://www.methodschools.org,jfernandez@methodschools.org,www.methodschools.org,"Method Schools, LA",Los Angeles,Acton-Agua Dulce Unified
19753090137786,http://missionacademy.elev8schools.org,principal@missionacademyhs.org,missionacademy.elev8schools.org,Mission Academy,Los Angeles,Acton-Agua Dulce Unified
19753090136648,http://ofy.org/,ofyactonleadership@ofy.org,ofy.org,Options for Youth-Acton,Los Angeles,Acton-Agua Dulce Unified
19753090131383,https://www.siatech.org,stacey.wilkins@siatech.org,www.siatech.org,SIATech Academy South,Los Angeles,Acton-Agua Dulce Unified
19642460126003,https://www.academyprepjuniorhigh.org,aglatfelter@avhsd.org,www.academyprepjuniorhigh.org,Academies of the Antelope Valley,Los Angeles,Antelope Valley Union High
19642461996537,https://www.dschs.org,principal@dschs.org,www.dschs.org,Desert Sands Charter,Los Angeles,Antelope Valley Union High
19642871996479,http://oflschools.org,oflbpleadership@oflschools.org,oflschools.org,Opportunities for Learning - Baldwin Park,Los Angeles,Baldwin Park Unified
19734370137984,http://greendot.org,cmp.cde@greendot.org,greendot.org,Animo Compton Charter,Los Angeles,Compton Unified
19734370118760,https://www.barackobamacharter.org,superintendent@ingeniumschools.org,www.barackobamacharter.org,Barack Obama Charter,Los Angeles,Compton Unified
19734370134338,http://isanaacademies.org/,nshaiq@isanaacademies.org,isanaacademies.org,ISANA Achernar Academy,Los Angeles,Compton Unified
19734370137893,https://www.kippla.org/compton,cgaston@kippsocal.org,www.kippla.org,KIPP Compton Community,Los Angeles,Compton Unified
19734370115725,https://www.lifelinecharterschool.com,t.cortez@lifelinecharterschool.com,www.lifelinecharterschool.com,Lifeline Education Charter,Los Angeles,Compton Unified
19734370132845,https://www.todaysfreshstartcharterschool.org,drjeanetteparker@todaysfreshstart.org,www.todaysfreshstartcharterschool.org,Today's Fresh Start-Compton,Los Angeles,Compton Unified
19644690134858,https://www.sgv.csarts.net,student.services@sgv.csarts.net,www.sgv.csarts.net,California School of the Arts - San Gabriel Valley,Los Angeles,Duarte Unified
19644690128736,https://www.oflschools.org,ofldleadership@oflschools.org,www.oflschools.org,Opportunities for Learning - Duarte,Los Angeles,Duarte Unified
19644690139535,https://www.ofy.org,ofydleadership@ofy.org,www.ofy.org,"Options For Youth - Duarte, Inc",Los Angeles,Duarte Unified
19645841996305,https://www.gormanlc.org,oduran@gormanlc.org,www.gormanlc.org,Gorman Learning Center,Los Angeles,Gorman Joint
19645920100354,https://www.hawthornemsa.org,amatsumoto@hawthorne.k12.ca.us,www.hawthornemsa.org,Hawthorne Math and Science Academy,Los Angeles,Hawthorne
19646341996586,https://www.greendot.org/inglewood,ing.cde@greendot.org,www.greendot.org,Animo Inglewood Charter High,Los Angeles,Inglewood Unified
19646341996529,http://cityhonors.inglewoodusd.com/,saba.araya@inglewoodusd.com,cityhonors.inglewoodusd.com,City Honors International Preparatory High,Los Angeles,Inglewood Unified
19646340128991,http://gracehopperstemacademy.org/,bbradshaw@ghsa-k12-ca.us,gracehopperstemacademy.org,Grace Hopper STEM Academy,Los Angeles,Inglewood Unified
19646340120303,http://iies.icefps.org/,iieca.cde@icefps.org,iies.icefps.org,ICEF Inglewood Elementary Charter Academy,Los Angeles,Inglewood Unified
19646346014518,http://latijera.inglewoodusd.com/,robbie.tate@inglewoodusd.com,latijera.inglewoodusd.com,La Tijera Academy of Excellence Charter,Los Angeles,Inglewood Unified
19646340101667,https://www.wpacs.org,phurtado@wpacs.org,www.wpacs.org,Wilder's Preparatory Academy Charter,Los Angeles,Inglewood Unified
19646420136127,https://www.sageoak.education,kwoodgrift@sageoak.education,www.sageoak.education,Sage Oak Charter School- Keppel,Los Angeles,Keppel Union Elementary
19646670125559,http://ileadlancaster.org,director@ileadlancaster.org,ileadlancaster.org,iLEAD Lancaster Charter,Los Angeles,Lancaster Elementary
19646911996438,https://www.ecsonline.org,echslawndaleinfo@ecsonline.org,www.ecsonline.org,Environmental Charter High - Lawndale,Los Angeles,Lawndale Elementary
19647090107508,https://www.centurycommunitycharter.weebly.com,dmeans@centurycharter.org,www.centurycommunitycharter.weebly.com,Century Community Charter,Los Angeles,Lennox
19647090100602,https://www.lennoxacademy.org,amena@lennoxacademy.org,www.lennoxacademy.org,"Lennox Mathematics, Science and Technology Academy",Los Angeles,Lennox
19647250131938,https://www.cpecschools.org,info@cpecschool.org,www.cpecschools.org,Clear Passage Educational Center,Los Angeles,Long Beach Unified
19647250127506,https://www.ivalongbeach.org,info@ivalongbeach.org,www.ivalongbeach.org,Intellectual Virtues Academy of Long Beach,Los Angeles,Long Beach Unified
19101990135368,https://www.almafuerteps.org,info@almafuerteps.org,www.almafuerteps.org,Alma Fuerte Public,Los Angeles,Los Angeles County Office of Education
19101990140798,http://bpacompton.org,agomez@bpacompton.org,bpacompton.org,Bridges Preparatory Academy,Los Angeles,Los Angeles County Office of Education
19101990138669,https://www.davincischools.org,ewhalen@davincischools.org,www.davincischools.org,Da Vinci RISE High,Los Angeles,Los Angeles County Office of Education
19101990134346,https://www.ivahigh.org,info@ivahigh.org,www.ivahigh.org,Intellectual Virtues Academy,Los Angeles,Los Angeles County Office of Education
19101990106880,http://jardindelainfancia.wixsite.com/website,jardindelainfancia@me.com,jardindelainfancia.wixsite.com,Jardin de la Infancia,Los Angeles,Los Angeles County Office of Education
19101990125641,https://www.kippsocal.org/sol/index,kdavalos@kippsocal.org,www.kippsocal.org,KIPP Sol Academy,Los Angeles,Los Angeles County Office of Education
19101990128025,http://lashonacademy.org,enroll@lashonacademy.org,lashonacademy.org,Lashon Academy,Los Angeles,Los Angeles County Office of Education
19101990139170,https://www.lashonacademy.org,josh@lashonacademy.org,www.lashonacademy.org,Lashon Academy City,Los Angeles,Los Angeles County Office of Education
