cds_code,county,district,school,school_type,sector_type,charter,status,details_url,email,administrator,cds code,educational program type,fax number,high grade,last updated,located within the boundaries of this public school district,low grade,mailing address,open date,phone number,public school,school address,school type,statistical info,virtual instruction,web address
01611436973085,Alameda,Berkeley Unified,School of the Madeleine,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436973085,jnagel@csdo.org,Mr. Joseph Nagel Principal jnagel@csdo.org Mary Schweska (Custodian of Records) madmary@themadeleine.com,01 61143 6973085,Information Not Available,(510) 526-5152,8,"November 26, 2024",Berkeley Unified,K,"1225 Milvia St. Berkeley, CA 94709-1932","July 1, 1980",(510) 526-4744,No,"1225 Milvia St. Berkeley, CA 94709-1932 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.themadeleine.com Link opens new browser tab
01611436989784,Alameda,Berkeley Unified,Black Pine Circle School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436989784,support@blackpinecircle.org,Jase Turner Head of School jturner@blackpinecircle.org Mulan Bartholomew (Custodian of Records) mbartholomew@blackpinecircle.org,01 61143 6989784,Information Not Available,(510) 486-8172,8,"August 27, 2025",Berkeley Unified,K,"2027 Seventh St. Berkeley, CA 94710-2091","July 1, 1980",(510) 845-0876,No,"2027 Seventh St. Berkeley, CA 94710-2091 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.blackpinecircle.org Link opens new browser tab
01611436994651,Alameda,Berkeley Unified,Walden Center & School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611436994651,joline@waldencenterschool.org,Joline Barsanti Administrator joline@waldencenterschool.org 0 Joline Barsanti (Custodian of Records) joline@waldencenterschool.org,01 61143 6994651,Information Not Available,Information Not Available,6,"September 9, 2025",Berkeley Unified,K,"2446 Mckinley Ave. Berkeley, CA 94703-1928","July 1, 1980",(510) 841-7248,No,"2446 Mckinley Ave. Berkeley, CA 94703-1928 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://waldencenterschool.org/ Link opens new browser tab
01611506913131,Alameda,Castro Valley Unified,Redwood Christian Elementary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611506913131,meghancostanzo@rcs.edu,Miss Megan Sinisi Principal megansinisi@rcs.edu Mrs. Deborah Fosdahl (Custodian of Records) deborahfosdahl@rcs.edu,01 61150 6913131,Information Not Available,Information Not Available,5,"August 20, 2025",Castro Valley Unified,K,"19300 Redwood Rd. Castro Valley, CA 94546-3465","July 1, 1980",(510) 537-4288,No,"19300 Redwood Rd. Castro Valley, CA 94546-3465 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.rcs.edu Link opens new browser tab
01611506970651,Alameda,Castro Valley Unified,Our Lady of Grace School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611506970651,gmcgowan@csdo.org,Dr. Gena McGowan Principal gmcgowan@csdo.org Ms. Elizabeth Castaign (Custodian of Records) ecastaing@csdo.org,01 61150 6970651,Information Not Available,(510) 581-1059,8,"August 6, 2025",Castro Valley Unified,K,"19920 Anita Ave. Castro Valley, CA 94546-4106","July 1, 1980",(510) 581-3155,No,"19920 Anita Ave. Castro Valley, CA 94546-4106 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://olgschool.org Link opens new browser tab
01611766909840,Alameda,Fremont Unified,Fremont Christian School,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611766909840,tmeyer@fremontchristian.com,Dr. Tricia Meyer Superintendent tmeyer@fremontchristian.com Ms. Danielle Gasper (Custodian of Records) dgasper@fremontchristian.com,01 61176 6909840,Information Not Available,(510) 744-2255,12,"November 26, 2024",Fremont Unified,K,"4760 Thornton Ave. Fremont, CA 94536-6409","July 1, 1980",(510) 744-2241,No,"4760 Thornton Ave. Fremont, CA 94536-6409 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,www.fremontchristian.com Link opens new browser tab
01611766967483,Alameda,Fremont Unified,Prince of Peace Lutheran School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611766967483,tstephen@popfremont.org,Dr. Craig Blackburn Principal cblackburn@popfremont.org Ms. Tina Stephen (Custodian of Records) tstephen@popfremont.org,01 61176 6967483,Information Not Available,(510) 793-6993,8,"August 11, 2025",Fremont Unified,K,"38451 Fremont Blvd Fremont, CA 94536-6030","July 1, 1980",(510) 797-8186,No,"38451 Fremont Blvd Fremont, CA 94536-6030 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.popchristianschool.com Link opens new browser tab
01611766972731,Alameda,Fremont Unified,Holy Spirit School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611766972731,holyspiritschool@csdo.org,Mrs. Holly Marsh Principal hmarsh@csdo.org Mrs. Denna Benton (Custodian of Records) dbenton@csdo.org,01 61176 6972731,Information Not Available,Information Not Available,8,"January 13, 2025",Fremont Unified,K,"3930 Parish Ave. Fremont, CA 94536-3728","July 1, 1980",(510) 793-3553,No,"3930 Parish Ave. Fremont, CA 94536-3728 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.holyspiritschoolfremont.com/ Link opens new browser tab
01611766972996,Alameda,Fremont Unified,St. Joseph Elementary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611766972996,llopez@sjsmsj.org,Mrs. Laurie Lopez Principal llopez@sjsmsj.org Mrs. Laurie Lopez (Custodian of Records) llopez@sjsmsj.org,01 61176 6972996,Information Not Available,(510) 656-3608,8,"November 26, 2024",Fremont Unified,K,"43222 Mission Blvd. Fremont, CA 94539-5827","July 1, 1980",(510) 656-6525,No,"43222 Mission Blvd. Fremont, CA 94539-5827 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://stjosephschoolfremont.org Link opens new browser tab
01611766993778,Alameda,Fremont Unified,Montessori School of Fremont,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611766993778,jhoanav@montessoriwest.com,Jhoana Vasquez Administrator jhoanav@montessoriwest.com Jhoana Vasquez (Custodian of Records) jhoanav@montessoriwest.com,01 61176 6993778,Information Not Available,Information Not Available,6,"August 28, 2025",Fremont Unified,K,"155 Washington Blvd Fremont, CA 94539-5209","July 1, 1980",(510) 490-1993,No,"155 Washington Blvd Fremont, CA 94539-5209 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://montessoriwest.com/ Link opens new browser tab
01612347047236,Alameda,Newark Unified,New Horizons School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612347047236,management@newhorizons.school,Sachin Gupta Head of School (510) 358-1201 management@newhorizons.school Ms. Sachin Gupta (Custodian of Records) management@newhorizons.school,01 61234 7047236,Information Not Available,Information Not Available,8,"August 6, 2025",Newark Unified,K,"6781 Brush Rabbit Ave Newark, CA 94560","July 1, 1980",(510) 358-1201,No,"37053 Cherry St. Newark, CA 94560-3704 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.newhorizons.school Link opens new browser tab
01612427077548,Alameda,New Haven Unified,Seneca Family of Agencies - Pathfinder Academy,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612427077548,schools@senecacenter.org,Grace Alvarez Director grace_alvarez@senecacenter.org Ms. Grace Alvarez (Custodian of Records) grace_alvarez@senecacenter.org,01 61242 7077548,Nonpublic Certified School,(510) 226-6352,12,"November 26, 2024",New Haven Unified,6,"600 G St. Union City, CA 94587-2400","July 1, 1980",(510) 226-6180,No,"600 G St. Union City, CA 94587-2400 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,http://sites.google.com/senecanps.school/pathfinder-academy/home Link opens new browser tab
34673487095896,Sacramento,Galt Joint Union Elementary,Mayflower Academy,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=34673487095896,homekeeper@hotmail.com,Mr. Richard Martinez Principal homekeeper@hotmail.com Mrs. Dawna Martinez (Custodian of Records) homekeeper@hotmail.com,34 67348 7095896,Information Not Available,Information Not Available,12,"October 14, 2024",Galt Joint Union Elementary,1,"628 Myrtle Ave Galt, CA 95632-1726","July 1, 1980",(209) 366-3600,No,"628 Myrtle Ave Galt, CA 95632-1726 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,Information Not Available
01611767100902,Alameda,Fremont Unified,Peace Terrace Academy,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611767100902,hwassel@peaceterrace.org,Mrs. Zolaikha Khaliqi Administrator zkhaliqi@peaceterrace.org Mrs. Zolaikha Khaliqi (Custodian of Records) zkhaliqi@peaceterrace.org,01 61176 7100902,Information Not Available,Information Not Available,8,"November 26, 2024",Fremont Unified,K,"33330 Peace Terr. Fremont, CA 94555-1105","July 1, 1980",(510) 477-9946,No,"33330 Peace Terr. Fremont, CA 94555-1105 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.peaceterrace.org Link opens new browser tab
01611926933006,Alameda,Hayward Unified,Moreau Catholic High School,High Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611926933006,cgalloway@moreaucatholic.org,Ms. Colleen Galloway Principal cgalloway@moreaucatholic.org Kim Capurro (Custodian of Records) kcapurro@moreaucatholic.org,01 61192 6933006,Information Not Available,(510) 581-5669,12,"November 26, 2024",Hayward Unified,9,"27170 Mission Blvd. Hayward, CA 94544-4135","July 1, 1980",(510) 881-4300,No,"27170 Mission Blvd. Hayward, CA 94544-4135 Google Map Link opens new browser tab",High Schools (Private),Link to CDE Private School Data page,,www.moreaucatholic.org Link opens new browser tab
01611926965909,Alameda,Hayward Unified,All Saints Catholic School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611926965909,allsaintshayward@comcast.net,Ms. Jennifer Diaz Administrator jdiaz@csdo.org Mrs. Susan Porter (Custodian of Records) sporter@csdo.org,01 61192 6965909,Information Not Available,(510) 582-0866,8,"November 26, 2024",Hayward Unified,K,"22870 Second St. Hayward, CA 94541-5217","July 1, 1980",(510) 582-1910,No,"22870 Second St. Hayward, CA 94541-5217 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://ascshayward.org Link opens new browser tab
01611926965917,Alameda,Hayward Unified,Saint Clement Catholic School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611926965917,vhernandez@csdo.org,Mrs. Veronica Hernandez Principal vhernandez@csdo.org Mrs. Maryann Harris (Custodian of Records) mharris@csdo.org,01 61192 6965917,Information Not Available,(510) 538-1643,8,"November 26, 2024",Hayward Unified,K,"790 Calhoun St. Hayward, CA 94544-4202","July 1, 1980",(510) 538-5885,No,"790 Calhoun St. Hayward, CA 94544-4202 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.sclementschool.org Link opens new browser tab
01611926972871,Alameda,Hayward Unified,St. Bede School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611926972871,ngalindo@csdo.org,Mrs. Janine Durana Principal jdurana@csdo.org Mrs. Sue Ann Dunster (Custodian of Records) sdunster@csdo.org,01 61192 6972871,Information Not Available,Information Not Available,8,"August 12, 2025",Hayward Unified,K,"26910 Patrick Ave. Hayward, CA 94544-3851","July 1, 1980",(510) 782-3444,No,"26910 Patrick Ave. Hayward, CA 94544-3851 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.stbedecatholicschool.org Link opens new browser tab
01611926972970,Alameda,Hayward Unified,St. Joachim's Elementary,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611926972970,dbayer@csdo.org,Ms. Dana Bayer Principal dbayer@csdo.org Mrs. Sandra Garzon (Custodian of Records) sgarzon@csdo.org,01 61192 6972970,Information Not Available,(510) 783-2161,8,"November 26, 2024",Hayward Unified,K,"21250 Hesperian Blvd. Hayward, CA 94541-5809","July 1, 1980",(510) 783-3177,No,"21250 Hesperian Blvd. Hayward, CA 94541-5809 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://stjoachimschool.org Link opens new browser tab
01611926975999,Alameda,Hayward Unified,Bayside Seventh-day Adventist Christian,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611926975999,rafael.paloma@nccsda.com,Rafael Paloma Principal rafael.paloma@nccsda.com Albert Miller (Custodian of Records) superintendent@nccsda.com,01 61192 6975999,Information Not Available,Information Not Available,8,"October 10, 2024",Hayward Unified,K,"26400 Gading Rd. Hayward, CA 94544-3617","July 1, 1980",(510) 785-1313,No,"26400 Gading Rd. Hayward, CA 94544-3617 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,Information Not Available
01613096995559,Alameda,San Lorenzo Unified,Woodroe Woods School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01613096995559,info@woodroewoods.org,Nicole Kelly Administrator info@woodroewoods.org Maria Gresham (Custodian of Records) info@woodroewoods.org,01 61309 6995559,Information Not Available,(510) 626-4103,5,"September 5, 2025",San Lorenzo Unified,K,"750 Fargo Ave. San Leandro, CA 94579-2104","July 1, 1980",(510) 351-6584,No,"750 Fargo Ave. San Leandro, CA 94579-2104 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.woodroewoods.org Link opens new browser tab
01611927003304,Alameda,Hayward Unified,Lea's Christian,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01611927003304,mrsbland@leaschristianschool.org,Mrs. Melva Bland Principal mbland1111@aol.com Mrs. Melva Bland (Custodian of Records) mrsbland@leaschristianschool.org,01 61192 7003304,Information Not Available,(510) 276-1394,5,"November 26, 2024",Hayward Unified,K,"17200 Via Magdalena San Lorenzo, CA 94580","July 1, 1980",(510) 861-1947,No,"17200 Via Magdalena San Lorenzo, CA 94580-2928 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://leaschristianschool.org Link opens new browser tab
01612006900773,Alameda,Livermore Valley Joint Unified,Valley Montessori School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612006900773,pwilczek@vmschool.org,Ms. Patti Wilczek Head of School pwilczek@vmschool.org Nichole Phillips (Custodian of Records) nphillips@vmschool.org,01 61200 6900773,Information Not Available,(925) 455-8002,8,"November 26, 2024",Livermore Valley Joint Unified,K,"1273 N. Livermore Ave. Livermore, CA 94551-1707","July 1, 1980",(925) 455-8021,No,"1273 N. Livermore Ave. Livermore, CA 94551-1707 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.valleymontessorischool.org Link opens new browser tab
01612006967525,Alameda,Livermore Valley Joint Unified,St. Michael School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612006967525,bangelo@csdo.org,Mr. Brandon Angelo Principal bangelo@csdo.org Mrs. Michelle Webster (Custodian of Records) mwebster@csdo.org,01 61200 6967525,Information Not Available,(925) 447-6720,8,"August 6, 2025",Livermore Valley Joint Unified,K,"345 Church St. Livermore, CA 94550-3205","July 1, 1980",(925) 447-1888,No,"345 Church St. Livermore, CA 94550-3205 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://smsliv.org Link opens new browser tab
01612006995583,Alameda,Livermore Valley Joint Unified,Our Savior Lutheran School,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612006995583,jknight@oslm.net,Mrs. Julie Knight Principal jknight@oslm.net Mrs. Julie Cha (Custodian of Records) jcha@oslm.net,01 61200 6995583,Information Not Available,Information Not Available,8,"August 6, 2025",Livermore Valley Joint Unified,K,"1385 South Livermore Ave., 1385 South Livermore Ave. Livermore, CA 94550","July 1, 1980",(925) 447-1246,No,"1385 South Livermore Ave., 1385 South Livermore Ave. Livermore, CA 94550 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,http://oslm.net Link opens new browser tab
39754997081383,San Joaquin,Tracy Joint Unified,Sonrise Christian Academy,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=39754997081383,argyl@sonrisepsp.com,Mr. Argyl Dickson Administrator Argyl@sonrisepsp.com Mr. Argyl Dickson (Custodian of Records) argyl@sonrisepsp.com,39 75499 7081383,Information Not Available,Information Not Available,12,"October 15, 2024",Tracy Joint Unified,1,"11176 W Larch Rd Tracy, CA 95304-1510","July 1, 1980",(209) 781-9494,No,"11176 W Larch Rd Tracy, CA 95304-1510 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,Information Not Available
01612346972921,Alameda,Newark Unified,St. Edward Parish,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612346972921,acogal@csdo.org,Mrs. Christina Cruz Principal tcruz@csdo.org Mrs. Christina Cruz (Custodian of Records) tcruz@csdo.org,01 61234 6972921,Information Not Available,(510) 793-3189,8,"September 5, 2025",Newark Unified,K,"5788 Thornton Ave., Bldg. D Newark, CA 94560-3826","July 1, 1980",(510) 793-7242,No,"5788 Thornton Ave., Bldg. D Newark, CA 94560-3826 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.stedcs.org Link opens new browser tab
01612347045446,Alameda,Newark Unified,Stellar Academy for Dyslexics,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612347045446,office@stellaracademy.org,Mrs. Brenda Huckaby Administrator office@stellaracademy.org Mrs. Brenda Huckaby (Custodian of Records) office@stellaracademy.org,01 61234 7045446,Information Not Available,Information Not Available,7,"August 26, 2025",Newark Unified,2,"Po Box 1319 Newark, CA 94560","July 1, 1980",(510) 742-3165,No,"39399 Cherry St Newark, CA 94560-4902 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.stellaracademy.org Link opens new browser tab
01612347055411,Alameda,Newark Unified,Challenger School – Ardenwood,Elementary School (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612347055411,tharper@challengerschool.com,Mr. Normand Paquin Headmaster npaquin@challengerschool.com Mr. Normand Paquin (Custodian of Records) npaquin@challengerschool.com,01 61234 7055411,Information Not Available,Information Not Available,8,"November 26, 2024",Newark Unified,K,"35487 Dumbarton Ct. Newark, CA 94560-1100","July 1, 1980",(510) 739-0300,No,"35487 Dumbarton Ct. Newark, CA 94560-1100 Google Map Link opens new browser tab",Elementary School (Private),Link to CDE Private School Data page,,www.challengerschool.com Link opens new browser tab
01612347091234,Alameda,Newark Unified,Challenger School - Newark,Kindergartens (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612347091234,tharper@challengerschool.com,Mrs. Michelle Silva Director msilva@challengerschool.com Mrs. Michelle Silva (Custodian of Records) msilva@challengerschool.com,01 61234 7091234,Information Not Available,Information Not Available,K,"November 26, 2024",Newark Unified,K,"39600 Cedar Blvd. Newark, CA 94560-5487","July 1, 1980",(510) 770-1771,No,"39600 Cedar Blvd. Newark, CA 94560-5487 Google Map Link opens new browser tab",Kindergartens (Private),Link to CDE Private School Data page,,www.challengerschool.com Link opens new browser tab
01612427088743,Alameda,New Haven Unified,Union City Christian School,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612427088743,82tonyl@gmail.com,Adam Lopez Administrator 82tonyl@gmail.com Tony Lopez (Custodian of Records) 82tonyl@gmail.com,01 61242 7088743,Information Not Available,Information Not Available,12,"October 16, 2024",New Haven Unified,K,"33700 Alvarado Niles Rd. Union City, CA 94587-4300","July 1, 1980",(510) 489-0394,No,"33700 Alvarado Niles Rd. Union City, CA 94587-4300 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,Information Not Available
01612596904452,Alameda,Oakland Unified,St. Andrew M.B.C. Private P. C. P. C.,K-12 Schools (Private),Private,No,Active,https://www.cde.ca.gov/SchoolDirectory/details?cdscode=01612596904452,tloj@att.net,Ms. Carrie Banks Administrator tloj@att.net Mrs. Patricia Nash (Custodian of Records) tloj@att.net,01 61259 6904452,Information Not Available,Information Not Available,12,"October 16, 2024",Oakland Unified,K,"2608 West St. Oakland, CA 94612","July 1, 1980",(510) 908-5513,No,"2608 West St. Oakland, CA 94612 Google Map Link opens new browser tab",K-12 Schools (Private),Link to CDE Private School Data page,,Information Not Available
